,ID,Source,Customer Segment,Membership Type,Membership Level,Affiliation,IsActive,Gender,Citizenship,Age,Lifetime Days,Has Linkedin,City,Country,Industry,Interviewed,Pathfinder Assigned,Customer Call Status,Languages,Completeness,Cleaned Country,Country Code,Continent Code,Longitude,Latitude,Continent
1054,1055,RoomMaster,,Founding Member,Mid-career Leader,,checked,male,,,61.0,,Oxford,United Kingdom,,Webinar,,,,50.0,United Kingdom,GB,EU,-3.2765753,54.7023545,Europe
1055,1056,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,female,,,214.0,,Nairobi,Kenya,Education,,checked,Completed,,72.22,Kenya,KE,AF,38.4313975,1.4419683,Africa
1056,1057,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,,,366.0,,Nairobi,Kenya,,,,None,,61.11,Kenya,KE,AF,38.4313975,1.4419683,Africa
1057,1058,RoomMaster,,Free Trial,Mid-career Leader,Corporate Partner,checked,female,,,61.0,,,United States of America,,,,,,44.44,United States of America,US,,-100.4458825,39.7837304,North America
1058,1059,RoomMaster,Existing Room member,Free Trial,Senior Leader,Donor,checked,male,,,214.0,,,United States of America,,,,None,,55.56,United States of America,US,,-100.4458825,39.7837304,North America
1059,1060,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,,,214.0,,Accra,Ghana,,,,None,,61.11,Ghana,GH,AF,-1.0840975468820433,7.857371,Africa
1060,1061,RoomMaster,,Staff Membership,Mid-career Leader,AL Staff,checked,male,,,31.0,,,,,,,,,38.89,Unknown,,,,,
1061,1062,RoomMaster,Existing Room member,Free Trial,,ALN,checked,male,,,171.0,,Nakuru,Kenya,,,,#REF!,,55.56,Kenya,KE,AF,38.4313975,1.4419683,Africa
1062,1063,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALUSB Alumni,checked,male,,40-50,214.0,,Kampala,Uganda,,,checked,None,English; Swahili,77.78,Uganda,UG,AF,32.2166578,1.5333554,Africa
1063,1064,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,,,214.0,,Nairobi,Kenya,,,,None,,61.11,Kenya,KE,AF,38.4313975,1.4419683,Africa
