,ID,Source,Customer Segment,Membership Type,Membership Level,Affiliation,IsActive,Gender,Citizenship,Age,Lifetime Days,Has Linkedin,City,Country,Industry,Interviewed,Pathfinder Assigned,Customer Call Status,Languages,Completeness,Cleaned Country,Country Code,Continent Code,Longitude,Latitude,Continent
0,1,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,,,366.0,,,United States of America,,,,None,,55.56,United States of America,US,,-100.4458825,39.7837304,North America
1,2,RoomMaster,LP Nairobi 2018,Free Trial,Young Leader,LP Nairobi 2018,checked,female,,,214.0,,Nairobi,Kenya,,,,Completed,,61.11,Kenya,KE,AF,38.4313975,1.4419683,Africa
2,3,RoomMaster,ALU Staff,Staff Membership,Senior Leader,AL Staff,checked,male,,,214.0,,,Mauritius,Education,,,Completed,,61.11,Mauritius,MU,AF,57.5703566,-20.2759451,Africa
3,4,RoomMaster,DSLP Nairobi 2020,Free Trial,Young Leader,DSLP Nairobi 2020,checked,female,,,214.0,,,Kenya,,,,None,,55.56,Kenya,KE,AF,38.4313975,1.4419683,Africa
4,5,RoomMaster,Existing Room member,Free Trial,Young Leader,ALA Alumni,checked,female,,,214.0,,Johannesburg,South Africa,,,,None,,61.11,South Africa,ZA,AF,24.991639,-28.8166236,Africa
5,6,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,,,214.0,checked,Nairobi,Kenya,,,checked,Completed,,72.22,Kenya,KE,AF,38.4313975,1.4419683,Africa
6,7,RoomMaster,The Room staff,Staff Membership,Young Leader,AL Staff,checked,male,,20-30,214.0,,Nairobi,Kenya,Education,,,Completed,English,77.78,Kenya,KE,AF,38.4313975,1.4419683,Africa
7,8,RoomMaster,Existing Room member,Founding Member,Senior Leader,,checked,female,,,366.0,,,United States of America,Consulting,,,None,,55.56,United States of America,US,,-100.4458825,39.7837304,North America
8,9,RoomMaster,Existing Room member,Free Trial,Young Leader,AIIP 2020,checked,female,,,214.0,,Lephalale,South Africa,,,,None,,61.11,South Africa,ZA,AF,24.991639,-28.8166236,Africa
9,10,RoomMaster,LP Nairobi 2018,Free Trial,Young Leader,LP Nairobi 2018,checked,male,,,214.0,,,Kenya,,,,None,,55.56,Kenya,KE,AF,38.4313975,1.4419683,Africa
10,11,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,female,,,214.0,,Lagos,Nigeria,,,,None,,61.11,Nigeria,NG,AF,7.9999721,9.6000359,Africa
11,12,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,,,214.0,,Nairobi,Kenya,,,,None,,61.11,Kenya,KE,AF,38.4313975,1.4419683,Africa
12,13,RoomMaster,Joined post-Sprint August,Premium Paying,Mid-career Leader,ALUSB 2016 Alumni ISA,checked,male,,,92.0,,Accra,Ghana,,,checked,,,61.11,Ghana,GH,AF,-1.0840975468820433,7.857371,Africa
13,14,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALUSB Alumni,checked,female,,,214.0,,Johannesburg,South Africa,,,,None,,61.11,South Africa,ZA,AF,24.991639,-28.8166236,Africa
14,15,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,female,,,214.0,,Lagos,Nigeria,,,,Completed,,61.11,Nigeria,NG,AF,7.9999721,9.6000359,Africa
15,16,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,,,214.0,,Johannesburg,South Africa,,,,Completed,,61.11,South Africa,ZA,AF,24.991639,-28.8166236,Africa
16,17,RoomMaster,AIIP 2018,Free Trial,Mid-career Leader,AIIP 2018,checked,male,,,214.0,,,South Africa,,,,None,,55.56,South Africa,ZA,AF,24.991639,-28.8166236,Africa
17,18,RoomMaster,AIIP 2019,Free Trial,Young Leader,AIIP 2019,checked,male,,,214.0,,Lagos,Nigeria,,,checked,Completed,,66.67,Nigeria,NG,AF,7.9999721,9.6000359,Africa
18,19,RoomMaster,DSXL Johannesburg,Free Trial,Mid-career Leader,DSXL Johannesburg,checked,female,,,214.0,,,South Africa,,,,,,50.0,South Africa,ZA,AF,24.991639,-28.8166236,Africa
19,20,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,female,,,214.0,,,Senegal,,,,None,,55.56,Senegal,SN,AF,-14.765340959100412,14.46517725,Africa
20,21,RoomMaster,Existing Room member,Free Trial,Senior Leader,Donor,checked,male,,,214.0,,New York City,United States of America,,,,Completed,,61.11,United States of America,US,,-100.4458825,39.7837304,North America
21,22,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,,,366.0,,Lagos,Nigeria,,,,None,,61.11,Nigeria,NG,AF,7.9999721,9.6000359,Africa
22,23,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,,female,,,366.0,,Johannesburg,South Africa,,,,None,,55.56,South Africa,ZA,AF,24.991639,-28.8166236,Africa
23,24,RoomMaster,DSXL Johannesburg,Free Trial,Mid-career Leader,Member Nomination,checked,female,,30-40,214.0,,Pretoria,South Africa,,,checked,Completed,,72.22,South Africa,ZA,AF,24.991639,-28.8166236,Africa
24,25,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,Parent,checked,male,,,214.0,,Nairobi,Kenya,,,,None,,61.11,Kenya,KE,AF,38.4313975,1.4419683,Africa
25,26,RoomMaster,Existing Room member,Free Trial,,ALN,checked,female,,,171.0,,Nairobi,Kenya,,,,#REF!,,55.56,Kenya,KE,AF,38.4313975,1.4419683,Africa
26,27,RoomMaster,,Staff Membership,Mid-career Leader,AL Staff,checked,male,,,31.0,,,,,,,,,38.89,Unknown,,,,,
27,28,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,,,214.0,,Kigali,Rwanda,,,,Completed,,61.11,Rwanda,RW,AF,30.0644358,-1.9646631,Africa
28,29,RoomMaster,Existing Room member,Free Trial,Senior Leader,,checked,male,,,214.0,,Wolfeboro,United States of America,,,,None,,55.56,United States of America,US,,-100.4458825,39.7837304,North America
29,30,RoomMaster,,Free Trial,Mid-career Leader,,checked,female,,,92.0,,,,,,,,,33.33,Unknown,,,,,
30,31,RoomMaster,,Staff Membership,Mid-career Leader,AL Staff,checked,,,,61.0,,,,,,,,,33.33,Unknown,,,,,
31,32,RoomMaster,Joined post-Sprint - June,Free Trial,Senior Leader,Staff Nomination,checked,female,,,153.0,,,Cote d'Ivoire,,,,,,50.0,Cote d'Ivoire,CI,AF,-5.5679458,7.9897371,Africa
32,33,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,,,214.0,,,Rwanda,,,,None,,55.56,Rwanda,RW,AF,30.0644358,-1.9646631,Africa
33,34,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,male,,20-30,214.0,,Nairobi,Kenya,,,checked,Completed,,72.22,Kenya,KE,AF,38.4313975,1.4419683,Africa
34,35,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,male,,,214.0,,Nairobi,Kenya,Insurance,,,None,,66.67,Kenya,KE,AF,38.4313975,1.4419683,Africa
35,36,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,male,,,214.0,,Nairobi,Kenya,,,,None,,61.11,Kenya,KE,AF,38.4313975,1.4419683,Africa
36,37,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,,,214.0,,Nairobi,Kenya,,,,None,,61.11,Kenya,KE,AF,38.4313975,1.4419683,Africa
37,38,RoomMaster,Existing Room member,Free Trial,Young Leader,ALA Alumni,checked,female,,,214.0,,South Bend,United States of America,,,,Completed,,61.11,United States of America,US,,-100.4458825,39.7837304,North America
38,39,RoomMaster,Existing Room member,Founding Member,Senior Leader,,checked,female,,,366.0,,Johannesburg,South Africa,,Interview,,Completed,,61.11,South Africa,ZA,AF,24.991639,-28.8166236,Africa
39,40,RoomMaster,LP Nairobi 2018,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,,,214.0,checked,,Kenya,Education,,checked,None,,72.22,Kenya,KE,AF,38.4313975,1.4419683,Africa
40,41,RoomMaster,The Room staff,Founding Member,Senior Leader,AL Staff,checked,male,,,214.0,,Minneapolis,United States of America,,Interview,,None,English; German,72.22,United States of America,US,,-100.4458825,39.7837304,North America
41,42,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,,male,,,214.0,,Nairobi,Kenya,Insurance,,,None,,61.11,Kenya,KE,AF,38.4313975,1.4419683,Africa
42,43,RoomMaster,,Staff Membership,Young Leader,AL Staff,checked,female,,,31.0,,,,,,,,,38.89,Unknown,,,,,
43,44,RoomMaster,Existing Room member,Founding Member,Senior Leader,Advisory Council,,male,,,366.0,,Johannesburg,South Africa,,,,None,,55.56,South Africa,ZA,AF,24.991639,-28.8166236,Africa
44,45,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,,,366.0,,Johannesburg,South Africa,,,,None,,61.11,South Africa,ZA,AF,24.991639,-28.8166236,Africa
45,46,RoomMaster,Existing Room member,Founding Member,Senior Leader,,checked,female,,,366.0,,Eastern Cape,South Africa,,,,None,,55.56,South Africa,ZA,AF,24.991639,-28.8166236,Africa
46,47,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,Staff Alumni,checked,female,,,214.0,,,Mauritius,,,,None,,55.56,Mauritius,MU,AF,57.5703566,-20.2759451,Africa
47,48,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,,40-50,214.0,,Lisbon;Nairobi,Portugal;Kenya,,,,Completed,,66.67,Portugal;Kenya,,,,,
48,49,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,male,,,214.0,,Lagos,Nigeria,,,checked,None,,66.67,Nigeria,NG,AF,7.9999721,9.6000359,Africa
49,50,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,,,214.0,,Nairobi,Kenya,,,,None,,61.11,Kenya,KE,AF,38.4313975,1.4419683,Africa
50,51,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,,,214.0,,Nairobi,Kenya,,,,None,,61.11,Kenya,KE,AF,38.4313975,1.4419683,Africa
51,52,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,,,214.0,,Lagos,Nigeria,Insurance,,,None,,66.67,Nigeria,NG,AF,7.9999721,9.6000359,Africa
52,53,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,ALN,checked,female,,,366.0,,Addis Ababa,Ethiopia,,,,Completed,,61.11,Ethiopia,ET,AF,38.6521203,10.2116702,Africa
53,54,RoomMaster,,Free Trial,Mid-career Leader,Consultant,checked,female,,,31.0,,,,,,,,,38.89,Unknown,,,,,
54,55,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,,,214.0,,Nairobi,Kenya,,,,None,,61.11,Kenya,KE,AF,38.4313975,1.4419683,Africa
55,56,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,Staff Alumni,checked,male,,,366.0,,Nairobi,Kenya,,,checked,Completed,,66.67,Kenya,KE,AF,38.4313975,1.4419683,Africa
56,57,RoomMaster,The Room staff,Premium Paying,Young Leader,LP Nairobi 2018,checked,female,,,214.0,checked,Nairobi,Kenya,Education,,checked,Completed,,77.78,Kenya,KE,AF,38.4313975,1.4419683,Africa
57,58,RoomMaster,DSXL Johannesburg,Free Trial,Mid-career Leader,DSXL Johannesburg,checked,female,,,214.0,,,South Africa,,,,None,,55.56,South Africa,ZA,AF,24.991639,-28.8166236,Africa
58,59,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,female,,,214.0,,Nairobi,Kenya,Insurance,,,None,,66.67,Kenya,KE,AF,38.4313975,1.4419683,Africa
59,60,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,female,,,184.0,,Nairobi,Kenya,,,,,,55.56,Kenya,KE,AF,38.4313975,1.4419683,Africa
60,61,RoomMaster,LP Nairobi 2018,Free Trial,Young Leader,LP Nairobi 2018,checked,male,,,214.0,,Nairobi,Kenya,Education,,,Completed,,66.67,Kenya,KE,AF,38.4313975,1.4419683,Africa
61,62,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,male,,,184.0,,Addis Ababa,Ethiopia,,,,,,55.56,Ethiopia,ET,AF,38.6521203,10.2116702,Africa
62,63,RoomMaster,Existing Room member,Founding Member,Senior Leader,,checked,male,,,366.0,,London,United Kingdom,,,,None,,55.56,United Kingdom,GB,EU,-3.2765753,54.7023545,Europe
63,64,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,female,,,214.0,,Abidjan,Cote d'Ivoire,,,,None,,61.11,Cote d'Ivoire,CI,AF,-5.5679458,7.9897371,Africa
64,65,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,,30-40,214.0,,Pamplemousses,Mauritius,Education,,,Completed,,72.22,Mauritius,MU,AF,57.5703566,-20.2759451,Africa
65,66,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,,,214.0,,,Kenya,,,,None,,55.56,Kenya,KE,AF,38.4313975,1.4419683,Africa
66,67,RoomMaster,AIIP 2018,Free Trial,Young Leader,AIIP 2018,checked,male,,,214.0,,,South Africa,,,,Completed,,55.56,South Africa,ZA,AF,24.991639,-28.8166236,Africa
67,68,RoomMaster,Existing Room member,Free Trial,Senior Leader,Parent,checked,male,,,214.0,,Kisii,Kenya,,,,None,,61.11,Kenya,KE,AF,38.4313975,1.4419683,Africa
68,69,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,,,366.0,,Johannesburg,South Africa,,,,None,,61.11,South Africa,ZA,AF,24.991639,-28.8166236,Africa
69,70,RoomMaster,,Staff Membership,Mid-career Leader,AL Staff,checked,female,,,31.0,,,,,,,,,38.89,Unknown,,,,,
70,71,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,,,214.0,,Nairobi,Kenya,,,,None,,61.11,Kenya,KE,AF,38.4313975,1.4419683,Africa
71,72,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,,,214.0,,Nairobi,Kenya,Environmental,,,None,,66.67,Kenya,KE,AF,38.4313975,1.4419683,Africa
72,73,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,male,,,184.0,,Lagos,Nigeria,,,,,,55.56,Nigeria,NG,AF,7.9999721,9.6000359,Africa
73,74,RoomMaster,The Room staff,Staff Membership,Young Leader,AL Staff,checked,female,,,214.0,,Johannesburg,South Africa,,,,Completed,,61.11,South Africa,ZA,AF,24.991639,-28.8166236,Africa
74,75,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,female,,,214.0,checked,Nairobi,Kenya,,,checked,Completed,,72.22,Kenya,KE,AF,38.4313975,1.4419683,Africa
75,76,RoomMaster,Existing Room member,Founding Member,Senior Leader,,checked,female,,,366.0,,,United States of America,,,,None,,50.0,United States of America,US,,-100.4458825,39.7837304,North America
76,77,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,,checked,male,,,366.0,,London,United Kingdom,,,,Completed,English; Zulu,61.11,United Kingdom,GB,EU,-3.2765753,54.7023545,Europe
77,78,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,,male,,,366.0,,Johannesburg,South Africa,,,,None,,55.56,South Africa,ZA,AF,24.991639,-28.8166236,Africa
78,79,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,,checked,male,,,366.0,,Cape Town,South Africa,,,,None,,55.56,South Africa,ZA,AF,24.991639,-28.8166236,Africa
79,80,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,,male,,,366.0,,Duluth,Switzerland,,,,None,,55.56,Switzerland,CH,EU,8.444947437939408,46.813331250000005,Europe
80,81,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,,male,,,366.0,,Accra,Ghana,,,,None,,55.56,Ghana,GH,AF,-1.0840975468820433,7.857371,Africa
81,82,RoomMaster,Joined post-Sprint - June,Free Trial,Young Leader,ALU Alumni,checked,male,,,153.0,,Tema,Ghana,,,,,,55.56,Ghana,GH,AF,-1.0840975468820433,7.857371,Africa
82,83,RoomMaster,Existing Room member,Free Trial,,ALN,checked,female,,,224.0,,Nairobi,Kenya,,,,#REF!,,55.56,Kenya,KE,AF,38.4313975,1.4419683,Africa
83,84,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,,,214.0,,Phnom Penh,Cambodia,,,checked,Completed,,66.67,Cambodia,KH,AS,104.869423,13.5066394,Asia
84,85,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,,,214.0,,Gland,Switzerland,,,,None,,61.11,Switzerland,CH,EU,8.444947437939408,46.813331250000005,Europe
85,86,RoomMaster,Existing Room member,Founding Member,Senior Leader,,checked,male,,,366.0,,Toronto,Canada,,,,None,,55.56,Canada,CA,,-107.991707,61.0666922,North America
86,87,RoomMaster,DSLP Nairobi 2020,Free Trial,Young Leader,DSLP Nairobi 2020,checked,male,,,214.0,,,Kenya,,,,None,,55.56,Kenya,KE,AF,38.4313975,1.4419683,Africa
87,88,RoomMaster,AIIP 2019,Free Trial,Young Leader,AIIP 2019,checked,male,,20-30,214.0,,Lagos,Nigeria,,,checked,None,,72.22,Nigeria,NG,AF,7.9999721,9.6000359,Africa
88,89,RoomMaster,AIIP 2018,Free Trial,Young Leader,AIIP 2018,,male,,,214.0,,,Ghana,,,,None,,50.0,Ghana,GH,AF,-1.0840975468820433,7.857371,Africa
89,90,RoomMaster,Existing Room member,Founding Member,Senior Leader,,checked,male,,,366.0,,Dakar,Senegal,,,,None,,55.56,Senegal,SN,AF,-14.765340959100412,14.46517725,Africa
90,91,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,,,214.0,,Nairobi,Kenya,,,checked,None,,66.67,Kenya,KE,AF,38.4313975,1.4419683,Africa
91,92,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,,,214.0,,,Senegal,,,,None,,55.56,Senegal,SN,AF,-14.765340959100412,14.46517725,Africa
92,93,RoomMaster,AIIP 2019,Free Trial,Mid-career Leader,AIIP 2019,checked,male,,,214.0,,Port Harcourt,Nigeria,,,,None,,61.11,Nigeria,NG,AF,7.9999721,9.6000359,Africa
93,94,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,,,366.0,,Lagos,Nigeria,,,,Completed,,61.11,Nigeria,NG,AF,7.9999721,9.6000359,Africa
94,95,RoomMaster,Existing Room member,Free Trial,,ALN,checked,male,,,171.0,,Kisumu,Kenya,,,,#REF!,,55.56,Kenya,KE,AF,38.4313975,1.4419683,Africa
95,96,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,male,,,214.0,,Johannesburg,South Africa,,,,Completed,,61.11,South Africa,ZA,AF,24.991639,-28.8166236,Africa
96,97,RoomMaster,Joined post-Sprint - June,Free Trial,Mid-career Leader,ALUSB Alumni,checked,male,,,153.0,,,Zimbabwe,,,,,,50.0,Zimbabwe,ZW,AF,29.35365015971339,-19.01688,Africa
97,98,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,male,,,214.0,,London,United Kingdom,,,,None,,61.11,United Kingdom,GB,EU,-3.2765753,54.7023545,Europe
98,99,RoomMaster,Existing Room member,Founding Member,Senior Leader,,checked,female,,,366.0,,Paris,France,,,,Completed,,55.56,France,FR,EU,1.8883335,46.603354,Europe
99,100,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,,,214.0,,Johannesburg,South Africa,Education,,,None,,66.67,South Africa,ZA,AF,24.991639,-28.8166236,Africa
100,101,RoomMaster,Existing Room member,Free Trial,Young Leader,ALU Alumni,checked,male,,,214.0,,Nairobi,Kenya,,,,None,,61.11,Kenya,KE,AF,38.4313975,1.4419683,Africa
101,102,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,male,,,214.0,,Nairobi,Kenya,Insurance,,,None,,66.67,Kenya,KE,AF,38.4313975,1.4419683,Africa
102,103,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,,,214.0,,Pamplemousses,Mauritius,Education,,,None,,66.67,Mauritius,MU,AF,57.5703566,-20.2759451,Africa
103,104,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,male,,,214.0,,Lagos,Nigeria,Insurance,,checked,Completed,,72.22,Nigeria,NG,AF,7.9999721,9.6000359,Africa
104,105,RoomMaster,,Staff Membership,Mid-career Leader,AL Staff,checked,,,,31.0,,,,,,,,,33.33,Unknown,,,,,
105,106,RoomMaster,Existing Room member,Free Trial,,ALN,checked,female,,,171.0,,,American,,,,#REF!,,50.0,American,CI,AF,-102.16763,31.9510266,Africa
106,107,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,male,,,214.0,,Lagos,Nigeria,,,,Completed,,61.11,Nigeria,NG,AF,7.9999721,9.6000359,Africa
107,108,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,,,214.0,,Taipei,Taiwan,,,,None,,61.11,Taiwan,TW,AS,120.9820179,23.9739374,Asia
108,109,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,ALN,checked,male,,,366.0,,Lagos,Nigeria,,,,Completed,,61.11,Nigeria,NG,AF,7.9999721,9.6000359,Africa
109,110,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,,checked,male,,,214.0,,Lagos,Nigeria,,,,None,,55.56,Nigeria,NG,AF,7.9999721,9.6000359,Africa
110,111,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,male,,,214.0,,,Kenya,,,checked,None,,61.11,Kenya,KE,AF,38.4313975,1.4419683,Africa
111,112,RoomMaster,AIIP 2020,Free Trial,Mid-career Leader,AIIP 2020,checked,male,,,214.0,,,Nigeria,,,checked,None,,61.11,Nigeria,NG,AF,7.9999721,9.6000359,Africa
112,113,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,female,,,214.0,checked,Nairobi,Kenya,,,checked,Completed,,72.22,Kenya,KE,AF,38.4313975,1.4419683,Africa
113,114,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,male,,,214.0,,Lagos,Nigeria,,,checked,None,,66.67,Nigeria,NG,AF,7.9999721,9.6000359,Africa
114,115,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,,30-40,214.0,,Nairobi,Kenya,,,,None,,66.67,Kenya,KE,AF,38.4313975,1.4419683,Africa
115,116,RoomMaster,Existing Room member,Free Trial,Senior Leader,Staff Nomination,checked,male,,,214.0,,Redwood,United States of America,,,,None,,61.11,United States of America,US,,-100.4458825,39.7837304,North America
116,117,RoomMaster,Existing Room member,Founding Member,Senior Leader,Board Member,checked,male,,,366.0,,Johannesburg,South Africa,Law,,,Completed,,66.67,South Africa,ZA,AF,24.991639,-28.8166236,Africa
117,118,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,,,,214.0,,Lagos,Nigeria,,,,None,,55.56,Nigeria,NG,AF,7.9999721,9.6000359,Africa
118,119,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALUSB Alumni,checked,male,,,366.0,,Kigali,Rwanda,Engineering,,,None,,66.67,Rwanda,RW,AF,30.0644358,-1.9646631,Africa
119,120,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,,,366.0,,Accra,Ghana,,,,None,,61.11,Ghana,GH,AF,-1.0840975468820433,7.857371,Africa
120,121,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,female,,,214.0,,Nairobi,Kenya,,,,None,,61.11,Kenya,KE,AF,38.4313975,1.4419683,Africa
121,122,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,,,214.0,,Nairobi,Kenya,,,checked,None,,66.67,Kenya,KE,AF,38.4313975,1.4419683,Africa
122,123,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,School of Wildlife Conservation,checked,male,,,366.0,,Cape Town,South Africa,,,,Completed,,61.11,South Africa,ZA,AF,24.991639,-28.8166236,Africa
123,124,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,female,,,184.0,,Ksour essef,Tunisia,,,,,,55.56,Tunisia,TN,AF,9.400138,33.8439408,Africa
124,125,RoomMaster,,Staff Membership,Mid-career Leader,AL Staff,checked,female,,,31.0,,,,,,,,,38.89,Unknown,,,,,
125,126,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,,checked,female,,,366.0,,,South Africa,,,,Completed,,50.0,South Africa,ZA,AF,24.991639,-28.8166236,Africa
126,127,RoomMaster,Existing Room member,Free Trial,Young Leader,ALU Alumni,checked,male,,,214.0,,,Nigeria,,,,None,,55.56,Nigeria,NG,AF,7.9999721,9.6000359,Africa
127,128,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,,,214.0,,Lagos,Nigeria,,,,None,,61.11,Nigeria,NG,AF,7.9999721,9.6000359,Africa
128,129,RoomMaster,Existing Room member,Founding Member,Senior Leader,Corporate Partner,checked,female,,,366.0,,Accra,Ghana,,,,None,,61.11,Ghana,GH,AF,-1.0840975468820433,7.857371,Africa
129,130,RoomMaster,Existing Room member,Founding Member,Senior Leader,Donor,checked,male,,,366.0,,Lagos,Nigeria,,,,Completed,,61.11,Nigeria,NG,AF,7.9999721,9.6000359,Africa
130,131,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,,,214.0,,Nairobi,Kenya,,,,Completed,,61.11,Kenya,KE,AF,38.4313975,1.4419683,Africa
131,132,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,,male,,,184.0,,Cape Town,South Africa,Education,,,,,55.56,South Africa,ZA,AF,24.991639,-28.8166236,Africa
132,133,RoomMaster,Existing Room member,Free Trial,,ALN,checked,male,,,171.0,,Lagos,Nigeria,,,,#REF!,,55.56,Nigeria,NG,AF,7.9999721,9.6000359,Africa
133,134,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,,,214.0,,Johannesburg,South Africa,,,,Completed,,61.11,South Africa,ZA,AF,24.991639,-28.8166236,Africa
134,135,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,,50-60,366.0,,Lagos,Nigeria,,,,Completed,,66.67,Nigeria,NG,AF,7.9999721,9.6000359,Africa
135,136,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,,,214.0,,Sharon Hill,United States of America,,,,None,,61.11,United States of America,US,,-100.4458825,39.7837304,North America
136,137,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,,,214.0,,,Mauritius,Education,,,None,,61.11,Mauritius,MU,AF,57.5703566,-20.2759451,Africa
137,138,RoomMaster,Joined post-Sprint - June,Free Trial,Senior Leader,ALUSB Alumni,checked,male,,,153.0,,Lagos,Nigeria,,,,,,55.56,Nigeria,NG,AF,7.9999721,9.6000359,Africa
138,139,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,,checked,female,,40-50,366.0,,Accra,Ghana,,,,Completed,English,66.67,Ghana,GH,AF,-1.0840975468820433,7.857371,Africa
139,140,RoomMaster,AIIP 2020,Free Trial,Young Leader,AIIP 2020,checked,,,,214.0,,,Nigeria,,,,None,,50.0,Nigeria,NG,AF,7.9999721,9.6000359,Africa
